timestamp,phase,status,elapsed_ms,initial_nodes,added_node_count,max_neighbors,details,edge_case_note,failed_nodes_count,metadata
2026-06-22T14:16:41+07:00,Phase 1,PARTIAL,120005,8,6,4,"Timed out waiting for initial topology convergence; 1 node(s) do not have exactly 4 neighbors; inactive, killed, or unknown neighbors are still referenced by: node-0, node-1, node-2, node-3, node-4, node-5, node-7; non-mutual neighbor relationships involve: node-1, node-2, node-3, node-4, node-6; affected nodes: node-0, node-1, node-2, node-3, node-4, node-5, node-6, node-7","1 node(s) do not have exactly 4 neighbors; inactive, killed, or unknown neighbors are still referenced by: node-0, node-1, node-2, node-3, node-4, node-5, node-7; non-mutual neighbor relationships involve: node-1, node-2, node-3, node-4, node-6",8,"{""expected_active_nodes"": 8, ""max_neighbors"": 4, ""check_mutual_neighbors"": true, ""timed_out"": true}"
2026-06-22T14:18:45+07:00,Phase R,PARTIAL,120085,8,6,4,"Phase R timed out after restarting 8 node(s); inactive, killed, or unknown neighbors are still referenced by: node-0, node-1, node-3, node-5; non-mutual neighbor relationships involve: node-0, node-1, node-2, node-3, node-4, node-5, node-6, node-7; affected nodes: node-0, node-1, node-2, node-3, node-4, node-5, node-6, node-7","inactive, killed, or unknown neighbors are still referenced by: node-0, node-1, node-3, node-5; non-mutual neighbor relationships involve: node-0, node-1, node-2, node-3, node-4, node-5, node-6, node-7",8,"{""trigger_phase"": ""Phase 1"", ""restarted_nodes"": [""node-0"", ""node-1"", ""node-2"", ""node-3"", ""node-4"", ""node-5"", ""node-6"", ""node-7""], ""expected_active_nodes"": 8, ""max_neighbors"": 4, ""check_mutual_neighbors"": true, ""excluded_node_ids"": [], ""require_excluded_inactive"": false, ""timed_out"": true}"
2026-06-22T14:20:56+07:00,Phase 2,PARTIAL,120310,8,6,4,Timed out waiting for a new failure report for node-5; waiting for a new failure report for node-5,waiting for a new failure report for node-5,0,"{""victim"": ""node-5"", ""max_neighbors"": 4, ""timed_out"": true}"
