timestamp,phase,status,elapsed_ms,initial_nodes,added_node_count,max_neighbors,details,edge_case_note,failed_nodes_count,metadata
2026-06-21T18:13:21+07:00,Phase 1,PARTIAL,120319,20,7,6,Timed out waiting for full neighbors; 1 node(s) still did not reach MAX_NEIGHBORS: node-18,,1,"{""expected_active_nodes"": 20, ""max_neighbors"": 6, ""timed_out"": true}"
2026-06-21T18:13:32+07:00,Phase R,PASS,10596,20,7,6,Restarted 1 deficient node(s) after Phase 1 timeout,,0,"{""trigger_phase"": ""Phase 1"", ""restarted_nodes"": [""node-18""], ""expected_active_nodes"": 20, ""max_neighbors"": 6, ""timed_out"": false}"
2026-06-21T18:15:43+07:00,Phase 2,PARTIAL,120458,20,7,6,Timed out waiting for first failure report for node-5,,0,"{""victim"": ""node-5"", ""max_neighbors"": 6, ""timed_out"": true}"
2026-06-21T18:18:43+07:00,Phase 3,PARTIAL,180361,20,7,6,Timed out waiting for convergence; 1 node(s) still did not reach MAX_NEIGHBORS: node-18,,1,"{""victim"": ""node-5"", ""expected_active_nodes"": 19, ""max_neighbors"": 6, ""timed_out"": true}"
2026-06-21T18:20:44+07:00,Phase R,PARTIAL,120456,20,7,6,Phase R timed out after restarting 1 node(s); 0 node(s) still did not reach MAX_NEIGHBORS,,0,"{""trigger_phase"": ""Phase 3"", ""restarted_nodes"": [""node-18""], ""expected_active_nodes"": 19, ""max_neighbors"": 6, ""timed_out"": true}"
2026-06-21T18:23:33+07:00,Phase 4,PARTIAL,158990,20,7,6,Timed out waiting after adding nodes; 1 node(s) still did not reach MAX_NEIGHBORS: node-26,,1,"{""added_nodes"": [""node-20"", ""node-21"", ""node-22"", ""node-23"", ""node-24"", ""node-25"", ""node-26""], ""expected_active_nodes"": 26, ""max_neighbors"": 6, ""timed_out"": true}"
2026-06-21T18:25:34+07:00,Phase R,PARTIAL,120494,20,7,6,Phase R timed out after restarting 1 node(s); 1 node(s) still did not reach MAX_NEIGHBORS: node-26,,1,"{""trigger_phase"": ""Phase 4"", ""restarted_nodes"": [""node-26""], ""expected_active_nodes"": 26, ""max_neighbors"": 6, ""timed_out"": true}"
2026-06-21T18:28:45+07:00,Phase 5,PARTIAL,180361,20,7,6,Timed out waiting for all killed nodes to be reported and for convergence; 1 node(s) still did not reach MAX_NEIGHBORS: node-26,,1,"{""victims"": [""node-4"", ""node-24"", ""node-16"", ""node-20"", ""node-21"", ""node-26"", ""node-14""], ""expected_active_nodes"": 19, ""max_neighbors"": 6, ""timed_out"": true}"
2026-06-21T18:30:45+07:00,Phase R,PARTIAL,120260,20,7,6,Phase R timed out after restarting 1 node(s); 0 node(s) still did not reach MAX_NEIGHBORS,,0,"{""trigger_phase"": ""Phase 5"", ""restarted_nodes"": [""node-26""], ""expected_active_nodes"": 19, ""max_neighbors"": 6, ""timed_out"": true}"
2026-06-21T18:34:42+07:00,Phase 1,PARTIAL,120446,20,7,6,Timed out waiting for full neighbors; 1 node(s) still did not reach MAX_NEIGHBORS: node-13,,1,"{""expected_active_nodes"": 20, ""max_neighbors"": 6, ""timed_out"": true}"
2026-06-21T18:36:42+07:00,Phase R,PARTIAL,120091,20,7,6,Phase R timed out after restarting 1 node(s); 0 node(s) still did not reach MAX_NEIGHBORS,,0,"{""trigger_phase"": ""Phase 1"", ""restarted_nodes"": [""node-13""], ""expected_active_nodes"": 20, ""max_neighbors"": 6, ""timed_out"": true}"
2026-06-21T18:38:53+07:00,Phase 2,PARTIAL,120478,20,7,6,Timed out waiting for first failure report for node-5,,0,"{""victim"": ""node-5"", ""max_neighbors"": 6, ""timed_out"": true}"
2026-06-21T18:41:53+07:00,Phase 3,PARTIAL,180331,20,7,6,Timed out waiting for convergence; 0 node(s) still did not reach MAX_NEIGHBORS,"Expected 19 surviving active nodes, but found 26",0,"{""victim"": ""node-5"", ""expected_active_nodes"": 19, ""max_neighbors"": 6, ""timed_out"": true}"
2026-06-21T18:44:42+07:00,Phase 4,PARTIAL,158931,20,7,6,Timed out waiting after adding nodes; 0 node(s) still did not reach MAX_NEIGHBORS,,0,"{""added_nodes"": [""node-20"", ""node-21"", ""node-22"", ""node-23"", ""node-24"", ""node-25"", ""node-26""], ""expected_active_nodes"": 26, ""max_neighbors"": 6, ""timed_out"": true}"
