timestamp,phase,status,elapsed_ms,initial_nodes,added_node_count,max_neighbors,details,edge_case_note,failed_nodes_count,metadata
2026-06-21T21:02:06+07:00,Phase 1,PARTIAL,120340,10,6,8,Timed out waiting for full neighbors; 1 node(s) still did not reach MAX_NEIGHBORS: node-9,,1,"{""expected_active_nodes"": 10, ""max_neighbors"": 8, ""timed_out"": true}"
2026-06-21T21:02:18+07:00,Phase R,PASS,11609,10,6,8,Restarted 1 deficient node(s) after Phase 1 timeout,,0,"{""trigger_phase"": ""Phase 1"", ""restarted_nodes"": [""node-9""], ""expected_active_nodes"": 10, ""max_neighbors"": 8, ""timed_out"": false}"
2026-06-21T21:04:28+07:00,Phase 2,PARTIAL,120286,10,6,8,Timed out waiting for first failure report for node-5,,0,"{""victim"": ""node-5"", ""max_neighbors"": 8, ""timed_out"": true}"
2026-06-21T21:07:29+07:00,Phase 3,PARTIAL,180418,10,6,8,Timed out waiting for convergence; 0 node(s) still did not reach MAX_NEIGHBORS,"node-5 is still referenced by: node-2, node-3, node-0, node-6, node-8, node-4, node-9, node-7",0,"{""victim"": ""node-5"", ""expected_active_nodes"": 9, ""max_neighbors"": 8, ""timed_out"": true}"
2026-06-21T21:10:12+07:00,Phase 4,PARTIAL,153378,10,6,8,"Timed out waiting after adding nodes; 5 node(s) still did not reach MAX_NEIGHBORS: node-0, node-13, node-6, node-12, node-15",,5,"{""added_nodes"": [""node-10"", ""node-11"", ""node-12"", ""node-13"", ""node-14"", ""node-15""], ""expected_active_nodes"": 15, ""max_neighbors"": 8, ""timed_out"": true}"
2026-06-21T21:12:15+07:00,Phase R,PARTIAL,120195,10,6,8,"Phase R timed out after restarting 5 node(s); 6 node(s) still did not reach MAX_NEIGHBORS: node-8, node-4, node-2, node-1, node-3, node-9",,6,"{""trigger_phase"": ""Phase 4"", ""restarted_nodes"": [""node-0"", ""node-13"", ""node-6"", ""node-12"", ""node-15""], ""expected_active_nodes"": 15, ""max_neighbors"": 8, ""timed_out"": true}"
2026-06-21T21:15:25+07:00,Phase 5,PARTIAL,180479,10,6,8,Timed out waiting for all killed nodes to be reported and for convergence; 1 node(s) still did not reach MAX_NEIGHBORS: node-8,,1,"{""victims"": [""node-1"", ""node-11"", ""node-14"", ""node-9"", ""node-6"", ""node-7""], ""expected_active_nodes"": 9, ""max_neighbors"": 8, ""timed_out"": true}"
2026-06-21T21:17:26+07:00,Phase R,PARTIAL,120129,10,6,8,Phase R timed out after restarting 1 node(s); 0 node(s) still did not reach MAX_NEIGHBORS,,0,"{""trigger_phase"": ""Phase 5"", ""restarted_nodes"": [""node-8""], ""expected_active_nodes"": 9, ""max_neighbors"": 8, ""timed_out"": true}"
2026-06-21T21:20:27+07:00,Phase 1,PARTIAL,120233,10,6,8,"Timed out waiting for full neighbors; 9 node(s) still did not reach MAX_NEIGHBORS: node-5, node-10, node-9, node-14, node-0, node-2, node-4, node-12, node-15",,9,"{""expected_active_nodes"": 10, ""max_neighbors"": 8, ""timed_out"": true}"
2026-06-21T21:22:32+07:00,Phase R,PARTIAL,120430,10,6,8,"Phase R timed out after restarting 9 node(s); 4 node(s) still did not reach MAX_NEIGHBORS: node-12, node-14, node-10, node-13",,4,"{""trigger_phase"": ""Phase 1"", ""restarted_nodes"": [""node-5"", ""node-10"", ""node-9"", ""node-14"", ""node-0"", ""node-2"", ""node-4"", ""node-12"", ""node-15""], ""expected_active_nodes"": 10, ""max_neighbors"": 8, ""timed_out"": true}"
2026-06-21T21:24:42+07:00,Phase 2,PARTIAL,120279,10,6,8,Timed out waiting for first failure report for node-5,,0,"{""victim"": ""node-5"", ""max_neighbors"": 8, ""timed_out"": true}"
2026-06-21T21:27:43+07:00,Phase 3,PARTIAL,180406,10,6,8,Timed out waiting for convergence; 1 node(s) still did not reach MAX_NEIGHBORS: node-7,"Expected 9 surviving active nodes, but found 15",1,"{""victim"": ""node-5"", ""expected_active_nodes"": 9, ""max_neighbors"": 8, ""timed_out"": true}"
2026-06-21T21:29:43+07:00,Phase R,PARTIAL,120156,10,6,8,Phase R timed out after restarting 1 node(s); 1 node(s) still did not reach MAX_NEIGHBORS: node-7,,1,"{""trigger_phase"": ""Phase 3"", ""restarted_nodes"": [""node-7""], ""expected_active_nodes"": 9, ""max_neighbors"": 8, ""timed_out"": true}"
2026-06-21T21:32:27+07:00,Phase 4,PARTIAL,153331,10,6,8,"Timed out waiting after adding nodes; 3 node(s) still did not reach MAX_NEIGHBORS: node-14, node-11, node-12",,3,"{""added_nodes"": [""node-10"", ""node-11"", ""node-12"", ""node-13"", ""node-14"", ""node-15""], ""expected_active_nodes"": 15, ""max_neighbors"": 8, ""timed_out"": true}"
2026-06-21T21:34:29+07:00,Phase R,PARTIAL,120222,10,6,8,Phase R timed out after restarting 3 node(s); 1 node(s) still did not reach MAX_NEIGHBORS: node-7,,1,"{""trigger_phase"": ""Phase 4"", ""restarted_nodes"": [""node-14"", ""node-11"", ""node-12""], ""expected_active_nodes"": 15, ""max_neighbors"": 8, ""timed_out"": true}"
