timestamp,phase,status,elapsed_ms,initial_nodes,added_node_count,max_neighbors,details,edge_case_note,failed_nodes_count,metadata
2026-06-21T10:31:17+07:00,Phase 4,PARTIAL,153250,10,6,4,Timed out waiting after adding nodes; 1 node(s) still did not reach MAX_NEIGHBORS: node-15,,1,"{""added_nodes"": [""node-10"", ""node-11"", ""node-12"", ""node-13"", ""node-14"", ""node-15""], ""expected_active_nodes"": 15, ""max_neighbors"": 4, ""timed_out"": true}"
2026-06-21T10:31:28+07:00,Phase R,PASS,10469,10,6,4,Restarted 1 deficient node(s) after Phase 4 timeout,,0,"{""trigger_phase"": ""Phase 4"", ""restarted_nodes"": [""node-15""], ""expected_active_nodes"": 15, ""max_neighbors"": 4, ""timed_out"": false}"
2026-06-21T10:33:34+07:00,Phase 5,PASS,115922,10,6,4,Detected death of 6 nodes and active nodes returned to MAX_NEIGHBORS,,0,"{""victims"": [""node-6"", ""node-9"", ""node-4"", ""node-8"", ""node-12"", ""node-1""], ""expected_active_nodes"": 9, ""max_neighbors"": 4, ""timed_out"": false}"
2026-06-21T10:36:35+07:00,Phase 1,PARTIAL,120078,10,6,4,Timed out waiting for full neighbors; 1 node(s) still did not reach MAX_NEIGHBORS: node-8,,1,"{""expected_active_nodes"": 10, ""max_neighbors"": 4, ""timed_out"": true}"
2026-06-21T10:36:44+07:00,Phase R,PASS,8906,10,6,4,Restarted 1 deficient node(s) after Phase 1 timeout,,0,"{""trigger_phase"": ""Phase 1"", ""restarted_nodes"": [""node-8""], ""expected_active_nodes"": 10, ""max_neighbors"": 4, ""timed_out"": false}"
2026-06-21T10:37:05+07:00,Phase 2,PASS,10875,10,6,4,First failure report observed for node-5,,0,"{""victim"": ""node-5"", ""max_neighbors"": 4, ""timed_out"": false}"
2026-06-21T10:37:44+07:00,Phase 3,PASS,38735,10,6,4,node-5 removed from neighbor lists; active nodes returned to MAX_NEIGHBORS,,0,"{""victim"": ""node-5"", ""expected_active_nodes"": 9, ""max_neighbors"": 4, ""timed_out"": false}"
2026-06-21T10:40:28+07:00,Phase 4,PARTIAL,153469,10,6,4,Timed out waiting after adding nodes; 1 node(s) still did not reach MAX_NEIGHBORS: node-15,,1,"{""added_nodes"": [""node-10"", ""node-11"", ""node-12"", ""node-13"", ""node-14"", ""node-15""], ""expected_active_nodes"": 15, ""max_neighbors"": 4, ""timed_out"": true}"
2026-06-21T10:40:38+07:00,Phase R,PASS,9891,10,6,4,Restarted 1 deficient node(s) after Phase 4 timeout,,0,"{""trigger_phase"": ""Phase 4"", ""restarted_nodes"": [""node-15""], ""expected_active_nodes"": 15, ""max_neighbors"": 4, ""timed_out"": false}"
2026-06-21T10:41:14+07:00,Phase 5,PASS,26109,10,6,4,Detected death of 6 nodes and active nodes returned to MAX_NEIGHBORS,,0,"{""victims"": [""node-2"", ""node-3"", ""node-7"", ""node-0"", ""node-14"", ""node-15""], ""expected_active_nodes"": 9, ""max_neighbors"": 4, ""timed_out"": false}"
2026-06-21T10:42:47+07:00,Phase 1,PASS,31781,10,6,4,10 active nodes reached MAX_NEIGHBORS,,0,"{""expected_active_nodes"": 10, ""max_neighbors"": 4, ""timed_out"": false}"
2026-06-21T10:43:06+07:00,Phase 2,PASS,9297,10,6,4,First failure report observed for node-5,,0,"{""victim"": ""node-5"", ""max_neighbors"": 4, ""timed_out"": false}"
2026-06-21T10:43:36+07:00,Phase 3,PASS,29797,10,6,4,node-5 removed from neighbor lists; active nodes returned to MAX_NEIGHBORS,,0,"{""victim"": ""node-5"", ""expected_active_nodes"": 9, ""max_neighbors"": 4, ""timed_out"": false}"
2026-06-21T10:46:19+07:00,Phase 4,PARTIAL,153235,10,6,4,Timed out waiting after adding nodes; 1 node(s) still did not reach MAX_NEIGHBORS: node-15,,1,"{""added_nodes"": [""node-10"", ""node-11"", ""node-12"", ""node-13"", ""node-14"", ""node-15""], ""expected_active_nodes"": 15, ""max_neighbors"": 4, ""timed_out"": true}"
2026-06-21T10:46:32+07:00,Phase R,PASS,11984,10,6,4,Restarted 1 deficient node(s) after Phase 4 timeout,,0,"{""trigger_phase"": ""Phase 4"", ""restarted_nodes"": [""node-15""], ""expected_active_nodes"": 15, ""max_neighbors"": 4, ""timed_out"": false}"
2026-06-21T10:49:43+07:00,Phase 5,PARTIAL,180563,10,6,4,Timed out waiting for all killed nodes to be reported and for convergence; 1 node(s) still did not reach MAX_NEIGHBORS: node-15,,1,"{""victims"": [""node-8"", ""node-13"", ""node-14"", ""node-1"", ""node-10"", ""node-4""], ""expected_active_nodes"": 9, ""max_neighbors"": 4, ""timed_out"": true}"
2026-06-21T10:50:17+07:00,Phase R,PASS,33406,10,6,4,Restarted 1 deficient node(s) after Phase 5 timeout,,0,"{""trigger_phase"": ""Phase 5"", ""restarted_nodes"": [""node-15""], ""expected_active_nodes"": 9, ""max_neighbors"": 4, ""timed_out"": false}"
2026-06-21T10:51:28+07:00,Phase 1,PASS,10422,10,6,4,10 active nodes reached MAX_NEIGHBORS,,0,"{""expected_active_nodes"": 10, ""max_neighbors"": 4, ""timed_out"": false}"
2026-06-21T10:51:52+07:00,Phase 2,PASS,13718,10,6,4,First failure report observed for node-5,,0,"{""victim"": ""node-5"", ""max_neighbors"": 4, ""timed_out"": false}"
2026-06-21T10:52:13+07:00,Phase 3,PASS,21360,10,6,4,node-5 removed from neighbor lists; active nodes returned to MAX_NEIGHBORS,,0,"{""victim"": ""node-5"", ""expected_active_nodes"": 9, ""max_neighbors"": 4, ""timed_out"": false}"
2026-06-21T10:53:12+07:00,Phase 4,PASS,49328,10,6,4,Added 6 nodes and reached MAX_NEIGHBORS,,0,"{""added_nodes"": [""node-10"", ""node-11"", ""node-12"", ""node-13"", ""node-14"", ""node-15""], ""expected_active_nodes"": 15, ""max_neighbors"": 4, ""timed_out"": false}"
2026-06-21T10:53:40+07:00,Phase 5,PASS,17344,10,6,4,Detected death of 6 nodes and active nodes returned to MAX_NEIGHBORS,,0,"{""victims"": [""node-0"", ""node-15"", ""node-3"", ""node-8"", ""node-10"", ""node-2""], ""expected_active_nodes"": 9, ""max_neighbors"": 4, ""timed_out"": false}"
2026-06-21T10:54:56+07:00,Phase 1,PASS,15141,10,6,4,10 active nodes reached MAX_NEIGHBORS,,0,"{""expected_active_nodes"": 10, ""max_neighbors"": 4, ""timed_out"": false}"
2026-06-21T10:55:19+07:00,Phase 2,PASS,13187,10,6,4,First failure report observed for node-5,,0,"{""victim"": ""node-5"", ""max_neighbors"": 4, ""timed_out"": false}"
2026-06-21T10:55:41+07:00,Phase 3,PASS,21844,10,6,4,node-5 removed from neighbor lists; active nodes returned to MAX_NEIGHBORS,,0,"{""victim"": ""node-5"", ""expected_active_nodes"": 9, ""max_neighbors"": 4, ""timed_out"": false}"
2026-06-21T10:56:34+07:00,Phase 4,PASS,43032,10,6,4,Added 6 nodes and reached MAX_NEIGHBORS,,0,"{""added_nodes"": [""node-10"", ""node-11"", ""node-12"", ""node-13"", ""node-14"", ""node-15""], ""expected_active_nodes"": 15, ""max_neighbors"": 4, ""timed_out"": false}"
2026-06-21T10:57:13+07:00,Phase 5,PASS,28750,10,6,4,Detected death of 6 nodes and active nodes returned to MAX_NEIGHBORS,,0,"{""victims"": [""node-6"", ""node-12"", ""node-15"", ""node-7"", ""node-11"", ""node-8""], ""expected_active_nodes"": 9, ""max_neighbors"": 4, ""timed_out"": false}"
2026-06-21T10:58:36+07:00,Phase 1,PASS,22500,10,6,4,10 active nodes reached MAX_NEIGHBORS,,0,"{""expected_active_nodes"": 10, ""max_neighbors"": 4, ""timed_out"": false}"
2026-06-21T10:58:58+07:00,Phase 2,PASS,11453,10,6,4,First failure report observed for node-5,,0,"{""victim"": ""node-5"", ""max_neighbors"": 4, ""timed_out"": false}"
2026-06-21T10:59:39+07:00,Phase 3,PASS,41719,10,6,4,node-5 removed from neighbor lists; active nodes returned to MAX_NEIGHBORS,,0,"{""victim"": ""node-5"", ""expected_active_nodes"": 9, ""max_neighbors"": 4, ""timed_out"": false}"
2026-06-21T11:00:34+07:00,Phase 4,PASS,44672,10,6,4,Added 6 nodes and reached MAX_NEIGHBORS,,0,"{""added_nodes"": [""node-10"", ""node-11"", ""node-12"", ""node-13"", ""node-14"", ""node-15""], ""expected_active_nodes"": 15, ""max_neighbors"": 4, ""timed_out"": false}"
2026-06-21T11:01:07+07:00,Phase 5,PASS,22937,10,6,4,Detected death of 6 nodes and active nodes returned to MAX_NEIGHBORS,,0,"{""victims"": [""node-12"", ""node-7"", ""node-2"", ""node-8"", ""node-1"", ""node-15""], ""expected_active_nodes"": 9, ""max_neighbors"": 4, ""timed_out"": false}"
2026-06-21T11:04:08+07:00,Phase 1,PARTIAL,120000,10,6,4,Timed out waiting for full neighbors; 1 node(s) still did not reach MAX_NEIGHBORS: node-5,,1,"{""expected_active_nodes"": 10, ""max_neighbors"": 4, ""timed_out"": true}"
2026-06-21T11:04:20+07:00,Phase R,PASS,11390,10,6,4,Restarted 1 deficient node(s) after Phase 1 timeout,,0,"{""trigger_phase"": ""Phase 1"", ""restarted_nodes"": [""node-5""], ""expected_active_nodes"": 10, ""max_neighbors"": 4, ""timed_out"": false}"
2026-06-21T11:04:48+07:00,Phase 2,PASS,18015,10,6,4,First failure report observed for node-5,,0,"{""victim"": ""node-5"", ""max_neighbors"": 4, ""timed_out"": false}"
2026-06-21T11:05:06+07:00,Phase 3,PASS,17750,10,6,4,node-5 removed from neighbor lists; active nodes returned to MAX_NEIGHBORS,,0,"{""victim"": ""node-5"", ""expected_active_nodes"": 9, ""max_neighbors"": 4, ""timed_out"": false}"
2026-06-21T11:07:49+07:00,Phase 4,PARTIAL,153281,10,6,4,Timed out waiting after adding nodes; 1 node(s) still did not reach MAX_NEIGHBORS: node-15,,1,"{""added_nodes"": [""node-10"", ""node-11"", ""node-12"", ""node-13"", ""node-14"", ""node-15""], ""expected_active_nodes"": 15, ""max_neighbors"": 4, ""timed_out"": true}"
2026-06-21T11:07:58+07:00,Phase R,PASS,8860,10,6,4,Restarted 1 deficient node(s) after Phase 4 timeout,,0,"{""trigger_phase"": ""Phase 4"", ""restarted_nodes"": [""node-15""], ""expected_active_nodes"": 15, ""max_neighbors"": 4, ""timed_out"": false}"
2026-06-21T11:11:09+07:00,Phase 5,PARTIAL,180156,10,6,4,"Timed out waiting for all killed nodes to be reported and for convergence; 2 node(s) still did not reach MAX_NEIGHBORS: node-10, node-15",,2,"{""victims"": [""node-14"", ""node-6"", ""node-7"", ""node-11"", ""node-3"", ""node-0""], ""expected_active_nodes"": 9, ""max_neighbors"": 4, ""timed_out"": true}"
2026-06-21T11:12:00+07:00,Phase R,PASS,49969,10,6,4,Restarted 2 deficient node(s) after Phase 5 timeout,,0,"{""trigger_phase"": ""Phase 5"", ""restarted_nodes"": [""node-10"", ""node-15""], ""expected_active_nodes"": 9, ""max_neighbors"": 4, ""timed_out"": false}"
2026-06-21T11:15:01+07:00,Phase 1,PARTIAL,120297,10,6,4,Timed out waiting for full neighbors; 1 node(s) still did not reach MAX_NEIGHBORS: node-9,,1,"{""expected_active_nodes"": 10, ""max_neighbors"": 4, ""timed_out"": true}"
2026-06-21T11:15:11+07:00,Phase R,PASS,9890,10,6,4,Restarted 1 deficient node(s) after Phase 1 timeout,,0,"{""trigger_phase"": ""Phase 1"", ""restarted_nodes"": [""node-9""], ""expected_active_nodes"": 10, ""max_neighbors"": 4, ""timed_out"": false}"
2026-06-21T11:15:32+07:00,Phase 2,PASS,11000,10,6,4,First failure report observed for node-5,,0,"{""victim"": ""node-5"", ""max_neighbors"": 4, ""timed_out"": false}"
2026-06-21T11:18:33+07:00,Phase 3,PARTIAL,180297,10,6,4,"Timed out waiting for convergence; 2 node(s) still did not reach MAX_NEIGHBORS: node-6, node-9",,2,"{""victim"": ""node-5"", ""expected_active_nodes"": 9, ""max_neighbors"": 4, ""timed_out"": true}"
